hist_lag,rebalancing_frequency,risk_tolerance,Return,Volatility,Sharpe Ratio,Portfolio Combination,risk_score
378,210,1,0.004662185,0.02978977,2.347832382,"{'AZO': 246.09, 'CF': 7085.22, 'DVN': 22644.94, 'DLTR': 8149.69, 'LLY': 1739.82, 'MCK': 7447.22, 'OXY': 37224.34, 'VRTX': 3417.24}",0.88
252,84,0.8,0.006483603,0.029751702,3.404156005,"{'CEG': 37641.94, 'EQT': 50989.72, 'MCK': 1796.81, 'OXY': 49949.21}",0.87
378,147,0.8,0.005311543,0.029701334,2.721061385,"{'CEG': 53983.56, 'MPC': 5900.8, 'MCK': 826.78, 'OXY': 27544.15, 'SMCI': 142073.4, 'VRTX': 1389.96}",0.87
378,252,1,0.005589792,0.029652726,2.948045797,"{'DVN': 93324.91, 'EXR': 926.37, 'F': 67030.9, 'FTNT': 52672.41, 'IT': 134.05, 'NVDA': 10471.6}",0.86
252,63,1,0.005753376,0.02963215,3.04511256,"{'CEG': 33724.41, 'ENPH': 9206.49, 'EQT': 58274.72, 'OXY': 22348.51}",0.86
252,168,1,0.006070883,0.029595141,3.213497846,"{'CEG': 40362.3, 'EQT': 53843.57, 'OXY': 56918.86}",0.86
378,168,0.9,0.005725551,0.029551947,2.988800477,"{'CF': 15957.37, 'DVN': 22439.44, 'EQT': 60326.67, 'MCK': 1761.65, 'OXY': 45614.21}",0.85
378,21,0.7,0.006210435,0.029500951,3.092040782,"{'CEG': 45395.23, 'EQT': 1475.68, 'MPC': 6137.58, 'MCK': 1470.62, 'OXY': 23292.42, 'SMCI': 125542.72, 'VRTX': 1973.41}",0.85
378,231,0.7,0.005520891,0.02946633,2.836569988,"{'CF': 12568.62, 'COP': 3454.73, 'DVN': 15511.23, 'DLTR': 3452.67, 'ENPH': 2660.75, 'EQT': 30482.84, 'MRO': 23517.07, 'MPC': 3464.28, 'MCK': 3418.02, 'OXY': 28790.24, 'VRTX': 2178.52}",0.84
252,42,0.9,0.006377982,0.029379154,3.396381517,"{'CEG': 31500.89, 'ENPH': 5251.94, 'EQT': 16844.37, 'FSLR': 19293.18, 'OXY': 14535.01}",0.84
378,42,0.7,0.005789651,0.029363244,2.977420256,"{'EQT': 24093.82, 'XOM': 1029.04, 'MPC': 1852.21, 'MCK': 7918.64, 'OXY': 30808.96, 'SMCI': 228825.72, 'VRTX': 3378.54}",0.83
378,210,0.9,0.004640641,0.029182904,2.395436533,"{'AZO': 54.57, 'DVN': 16230.22, 'DLTR': 8260.08, 'LLY': 768.31, 'MCK': 11245.12, 'OXY': 43754.01, 'VRTX': 3489.47}",0.83
252,63,0.9,0.005709767,0.029087079,3.073995298,"{'CEG': 34552.97, 'ENPH': 8797.86, 'EQT': 58638.69, 'OXY': 22750.74}",0.83
252,105,1,0.005440376,0.029032217,2.930272657,"{'CEG': 16130.72, 'ERIE': 700.42, 'FSLR': 26758.67, 'SMCI': 363983.97}",0.82
252,168,0.9,0.006019951,0.029008193,3.243946508,"{'CEG': 41017.66, 'EQT': 52664.33, 'OXY': 56946.94}",0.82
378,105,0.8,0.005148102,0.028987816,2.666927758,"{'CEG': 53486.37, 'MPC': 5846.45, 'MCK': 819.16, 'OXY': 27290.47, 'SMCI': 140764.9, 'VRTX': 1377.16}",0.81
378,84,0.6,0.005771351,0.028961993,3.074105037,"{'CF': 16986.26, 'CTRA': 51.76, 'DVN': 17841.91, 'EQT': 52267.51, 'MCK': 3983.95, 'OXY': 37326.02, 'SMCI': 36135.66}",0.81
252,21,0.7,0.006680744,0.028903091,3.496437451,"{'CEG': 15062.0, 'ERIE': 3252.09, 'FSLR': 17258.1, 'GILD': 5422.96, 'LW': 9551.91, 'SMCI': 250493.68}",0.81
378,63,0.9,0.005307474,0.028863114,2.816956654,"{'CF': 14658.35, 'DVN': 19577.24, 'ENPH': 2265.43, 'EQT': 38481.45, 'MRO': 20221.02, 'MCK': 3284.22, 'OXY': 41601.13, 'VRTX': 641.32}",0.8
378,147,0.7,0.005249159,0.028692802,2.786816945,"{'CEG': 49099.25, 'EQT': 1596.08, 'MPC': 6638.37, 'MCK': 1590.61, 'OXY': 25192.96, 'SMCI': 135786.34, 'VRTX': 2134.43}",0.8
252,84,0.7,0.006356452,0.028638399,3.481508903,"{'CEG': 37860.27, 'EQT': 49733.2, 'MCK': 2096.33, 'OXY': 49040.22}",0.79
378,189,1,0.005263244,0.028604851,2.864644917,"{'ANET': 2024.79, 'DVN': 62166.05, 'MRO': 35009.31, 'NUE': 3574.11, 'NVDA': 30248.23, 'PANW': 592.22, 'TRGP': 43730.57}",0.79
252,126,1,0.006050505,0.028555101,3.227227334,"{'ABBV': 5621.52, 'CF': 3328.84, 'DLTR': 11886.56, 'MCK': 6688.92, 'OXY': 35299.26, 'VRTX': 7976.44}",0.78
378,168,0.8,0.005641781,0.028549353,3.050454973,"{'CF': 16460.56, 'DVN': 21210.91, 'EQT': 58413.13, 'MCK': 2508.67, 'OXY': 43436.72}",0.78
252,42,0.8,0.006303287,0.028531833,3.446114777,"{'CEG': 32149.57, 'ENPH': 4770.83, 'EQT': 17601.54, 'FSLR': 19330.66, 'OXY': 15098.94}",0.78
252,105,0.9,0.005406276,0.028486075,2.965282056,"{'CEG': 15464.63, 'ERIE': 681.0, 'FSLR': 27817.92, 'SMCI': 351727.3}",0.77
252,63,0.8,0.005647667,0.028440321,3.11427585,"{'CEG': 28545.62, 'ENPH': 8144.11, 'EQT': 50370.63, 'FSLR': 6913.36, 'OXY': 24314.96}",0.77
252,189,0.5,0.005612794,0.028333005,3.110868951,"{'APA': 30994.59, 'BKR': 1844.18, 'CF': 19146.22, 'DVN': 30720.73, 'DLTR': 1174.86, 'MRO': 53207.41, 'MCK': 42.54, 'MOS': 28141.2, 'OXY': 7145.65, 'ON': 1879.51, 'PANW': 6.44, 'TRGP': 3347.1, 'TSLA': 1265.78}",0.76
252,126,0.9,0.00602725,0.028249978,3.253871629,"{'ABBV': 5152.43, 'DLTR': 12042.23, 'MCK': 7236.47, 'OXY': 34747.93, 'VRTX': 8591.64}",0.76
378,21,0.6,0.006072923,0.028189562,3.155410854,"{'CEG': 40454.2, 'EQT': 2797.98, 'FICO': 304.03, 'MPC': 6618.89, 'MCK': 2068.37, 'OXY': 20874.33, 'SMCI': 117857.16, 'VRTX': 2548.02}",0.76
378,126,1,0.005253294,0.028146534,2.834229199,"{'AZO': 243.75, 'CF': 7017.77, 'DVN': 22429.37, 'DLTR': 8072.11, 'LLY': 1723.26, 'MCK': 7376.33, 'OXY': 36869.98, 'VRTX': 3384.71}",0.75
378,63,0.8,0.005253293,0.028098517,2.866791971,"{'CF': 12266.88, 'COP': 3547.78, 'DVN': 16564.99, 'DLTR': 2694.45, 'ENPH': 2555.5, 'EQT': 30828.15, 'MRO': 26389.45, 'MPC': 3138.66, 'MCK': 2969.35, 'OXY': 29266.43, 'VRTX': 1710.71}",0.75
252,168,0.8,0.005926583,0.028079317,3.287106139,"{'CEG': 38353.98, 'EQT': 51954.26, 'MCK': 1830.8, 'OXY': 50894.06}",0.74
378,42,0.6,0.005637386,0.027953204,3.043787029,"{'EQT': 21295.26, 'XOM': 1423.78, 'LW': 379.91, 'MPC': 1959.57, 'MCK': 8384.4, 'OXY': 28874.44, 'SMCI': 212797.76, 'VRTX': 3809.6}",0.74
378,231,0.6,0.005333962,0.027911519,2.889235611,"{'CF': 12495.93, 'COP': 3227.89, 'DVN': 13715.53, 'DLTR': 4192.08, 'ENPH': 2679.64, 'EQT': 28974.22, 'MRO': 19296.21, 'MPC': 3742.08, 'MCK': 3825.3, 'OXY': 27219.24, 'VRTX': 2646.48}",0.73
378,210,0.8,0.004515719,0.0278542,2.440860528,"{'AZO': 312.5, 'CF': 7150.02, 'DVN': 19028.94, 'DLTR': 8123.08, 'LLY': 2248.81, 'MCK': 7507.12, 'OXY': 32519.73, 'VRTX': 3877.1}",0.73
252,126,0.8,0.005982559,0.027844015,3.272448131,"{'ABBV': 6550.29, 'CF': 3855.91, 'DLTR': 11662.58, 'MCK': 6746.95, 'OXY': 32344.13, 'VRTX': 7993.26}",0.73
378,168,0.7,0.005564361,0.027726211,3.099373283,"{'CF': 16734.63, 'DVN': 19984.64, 'EQT': 54613.35, 'MRO': 4437.38, 'MCK': 3248.37, 'OXY': 39709.07, 'SMCI': 16719.01}",0.72
252,42,0.7,0.006205004,0.02763053,3.510940306,"{'CEG': 33101.87, 'ENPH': 4156.11, 'EQT': 18450.17, 'FSLR': 19451.62, 'OXY': 15784.47}",0.72
252,147,1,0.005804612,0.027567796,3.44227661,"{'CEG': 16321.62, 'ERIE': 708.71, 'FSLR': 27075.35, 'SMCI': 368291.55}",0.71
